sku,avg_daily_demand,demand_std,lead_time_days,current_stock,unit_cost,service_level,safety_stock,reorder_point,recommended_order_qty,reorder_now,estimated_order_value
SKU-0059,25.616438356164384,6.3903045916723675,15,220,116.58,0.95,40.712998663917084,424.9595740063828,418.0,True,48730.44
SKU-0105,25.55068493150685,6.890890692035395,22,510,112.02,0.98,66.38762628654852,628.5026947796993,433.0,True,48504.659999999996
SKU-0265,30.03835616438356,7.353974595096585,29,334,46.11,0.9,50.770232163420594,921.8825609305438,1049.0,True,48369.39
SKU-0020,30.4027397260274,7.926135177178497,24,438,61.72,0.95,63.87530662599435,793.5410600506519,753.0,True,46475.159999999996
SKU-0332,28.624657534246577,8.065592720940431,21,520,93.24,0.98,75.918282551882,677.0360907710601,496.0,True,46247.04
SKU-0328,17.28767123287671,5.65656152121265,16,74,111.35,0.98,46.47430945828313,323.0770491843105,411.0,True,45764.85
SKU-0469,11.591780821917808,4.358954199125145,23,37,106.7,0.98,42.93847965135083,309.54943855546037,428.0,True,45667.6
SKU-0109,26.438356164383563,7.257028236740056,15,48,75.71,0.9,36.032340063937255,432.6076825296907,601.0,True,45501.71
SKU-0157,22.34794520547945,6.739014454737808,27,321,67.46,0.95,57.60287663987924,660.9973971878244,671.0,True,45265.659999999996
SKU-0321,24.156164383561645,7.05513970355231,28,407,62.37,0.98,76.68052415467456,753.0531268944006,723.0,True,45093.509999999995
SKU-0443,22.67945205479452,6.4064476215374295,19,63,67.12,0.98,57.35806865828221,488.2676576993781,670.0,True,44970.4
SKU-0422,20.95068493150685,6.3702416692920165,25,271,73.1,0.98,65.422381943629,589.1895052313002,613.0,True,44810.299999999996
SKU-0165,27.975342465753425,7.189884928199244,17,258,87.19,0.9,38.004447703592476,513.5852696214007,513.0,True,44728.47
SKU-0213,16.24109589041096,5.583232245949321,23,32,74.4,0.95,44.046916785679215,417.5921222651313,595.0,True,44268.0
SKU-0494,29.167123287671235,7.429671261465052,20,95,51.09,0.9,42.59637297721238,625.938838730637,844.0,True,43119.96000000001
SKU-0253,19.427397260273974,6.062704857170381,18,232,115.9,0.98,52.83273803030898,402.5258887152405,372.0,True,43114.8
SKU-0474,25.41917808219178,6.9117008914380165,16,208,92.43,0.9,35.443202171294146,442.15005148636266,456.0,True,42148.08
SKU-0062,31.13150684931507,7.96656606832389,15,309,85.74,0.98,63.37489181444934,530.3474945541753,487.0,True,41755.38
SKU-0054,23.09041095890411,6.707797749994005,16,271,118.94,0.95,44.13730919496055,413.5838845374263,350.0,True,41629.0
SKU-0310,24.572602739726026,6.749710215065163,15,117,84.37,0.9,33.51342255649138,402.10246365238174,487.0,True,41088.19
SKU-0145,33.31506849315068,8.20157568673823,27,407,37.8,0.98,87.53457316754478,987.0414224826131,1074.0,True,40597.2
SKU-0001,24.767123287671232,6.691228775491621,26,333,55.95,0.95,56.12527152815907,700.0704770076111,718.0,True,40172.1
SKU-0266,30.794520547945204,7.318047283734011,10,76,93.04,0.9,29.667656119884995,337.61286159933707,431.0,True,40100.240000000005
SKU-0471,27.53698630136986,6.870215754912111,27,446,51.35,0.98,73.32510564373547,816.8237357807217,780.0,True,40053.0
SKU-0362,15.479452054794521,5.274106322508963,27,152,74.78,0.9,35.1332873626968,453.0784928421489,528.0,True,39483.840000000004
SKU-0394,34.057534246575344,7.5918897915244745,21,397,53.09,0.9,44.60130515517682,759.8095243332591,743.0,True,39445.87
SKU-0058,22.720547945205478,6.726096440380912,22,117,55.29,0.95,51.89677048726031,551.7488252817809,711.0,True,39311.19
SKU-0453,25.493150684931507,6.90222787665675,21,317,67.03,0.98,64.96798242949289,600.3241468130545,584.0,True,39145.520000000004
SKU-0004,21.413698630136988,6.558806575905063,24,178,57.81,0.95,52.85624983318264,566.7850169564704,673.0,True,38906.130000000005
SKU-0185,31.583561643835615,8.03951459804329,24,173,36.95,0.9,50.49210470902787,808.4975841610826,1040.0,True,38428.0
SKU-0141,19.34794520547945,6.19171969199528,23,395,110.87,0.95,48.84736117352675,493.8501008995541,346.0,True,38361.020000000004
SKU-0462,21.39178082191781,6.636763937057322,16,158,85.02,0.98,54.52765250686295,396.79614565754787,438.0,True,37238.759999999995
SKU-0269,28.92054794520548,7.666233922603338,8,25,101.27,0.9,27.798098251258736,259.16248181290257,364.0,True,36862.28
SKU-0400,22.01095890410959,6.572494333986489,24,479,87.54,0.98,66.13574962760669,594.3987633262368,413.0,True,36154.020000000004
SKU-0270,16.265753424657536,5.743420009068815,29,361,80.56,0.98,63.52870682935222,535.2355561444208,442.0,True,35607.520000000004
SKU-0202,22.517808219178082,6.9173166696468416,16,42,60.47,0.98,56.83267375781845,417.11760526466776,584.0,True,35314.479999999996
SKU-0470,30.389041095890413,7.87902281070459,7,28,102.82,0.9,26.7244885819644,239.4477762531973,332.0,True,34136.24
SKU-0446,26.334246575342465,7.4419404590588085,19,316,61.36,0.98,66.6290207956318,566.9797057271387,535.0,True,32827.6
SKU-0227,18.495890410958904,5.816149323649645,25,167,51.99,0.98,59.73185355388185,522.1291138278544,617.0,True,32077.83
SKU-0238,33.38904109589041,7.952944745308669,14,244,58.08,0.98,61.12127740623438,528.5678527487001,549.0,True,31885.92
SKU-0203,22.69041095890411,6.638221088985605,26,322,48.82,0.95,55.680649038321825,645.6313339698287,647.0,True,31586.54
SKU-0159,26.78904109589041,6.997400648542187,19,529,106.99,0.9,39.102233661499476,548.0940144834173,294.0,True,31455.059999999998
SKU-0370,24.106849315068494,6.517270563308197,10,122,103.38,0.98,42.331746847056614,283.40023999774155,304.0,True,31427.519999999997
SKU-0093,29.07945205479452,6.990711240995099,19,163,41.09,0.98,62.58908509346335,615.0986741345592,760.0,True,31228.4
SKU-0169,32.66575342465753,8.244082446130315,20,160,34.98,0.9,47.26561894489659,700.5806874380472,891.0,True,31167.179999999997
SKU-0389,26.632876712328766,7.469499424114465,24,138,34.07,0.95,60.19536071397675,699.3844018098671,912.0,True,31071.84
SKU-0187,18.326027397260273,5.859669087280792,22,379,95.39,0.98,56.45271981731792,459.62532255704394,311.0,True,29666.29
SKU-0086,15.068493150684931,5.019546319204537,26,176,60.08,0.98,52.57164655208789,444.3524684698961,491.0,True,29499.28
SKU-0435,13.454794520547946,5.15168384656075,24,201,80.9,0.98,51.8388386087923,374.75390710194296,362.0,True,29285.800000000003
SKU-0488,28.172602739726027,8.103744560352522,7,29,90.91,0.95,35.26961064791521,232.47782982599742,320.0,True,29091.199999999997
SKU-0250,14.654794520547945,5.242604448169815,20,39,65.07,0.9,30.05731028834223,323.1532006993011,446.0,True,29021.219999999998
SKU-0107,33.79178082191781,8.262548788315964,15,254,48.17,0.95,52.641174290445235,559.5178866192124,586.0,True,28227.620000000003
SKU-0241,24.183561643835617,6.545005093615115,9,130,119.85,0.9,25.172089590043733,242.82414438456428,235.0,True,28164.75
SKU-0051,20.82191780821918,6.170522057796526,14,148,77.42,0.98,47.42270976525334,338.92955908032184,361.0,True,27948.62
SKU-0257,34.104109589041094,8.594664175850596,19,444,45.98,0.9,48.02791546833102,696.0059976601118,601.0,True,27633.98
SKU-0346,21.301369863013697,6.021219190155963,19,436,107.86,0.98,53.90904977580239,458.6350771730626,252.0,True,27180.72
SKU-0226,23.923287671232877,6.606243312199826,15,339,109.14,0.9,32.801085761962675,391.65040083045585,249.0,True,27175.86
SKU-0285,24.19178082191781,6.606393702620727,21,521,90.37,0.9,38.81165159098788,546.8390488512619,300.0,True,27111.0
SKU-0180,33.30684931506849,8.572514357442056,22,409,35.22,0.9,51.54749756051424,784.298182492021,768.0,True,27048.96
SKU-0434,10.747945205479452,4.330701463022415,23,108,81.99,0.98,42.66017217693747,289.86291190296487,327.0,True,26810.73
SKU-0489,24.41917808219178,7.127347454711158,20,332,53.04,0.98,65.4701548400404,553.853716483876,499.0,True,26466.96
SKU-0024,23.816438356164383,6.789354419507764,10,52,70.54,0.98,44.099018101169555,282.2634016628134,372.0,True,26240.88
SKU-0463,30.26027397260274,7.5865471544656256,19,335,41.42,0.98,67.92371034178642,642.8689158212385,630.0,True,26094.600000000002
SKU-0129,22.284931506849315,6.73606969635016,20,40,37.86,0.9,38.6197621790401,484.3183923160264,687.0,True,26009.82
SKU-0112,31.887671232876713,8.059257614582664,8,218,110.61,0.98,46.82097691829553,301.9223467813092,235.0,True,25993.35
SKU-0366,22.345205479452055,6.556706178064129,14,111,63.42,0.9,31.4512394694049,344.2841161817337,406.0,True,25748.52
SKU-0329,20.08219178082192,6.1798890078974935,21,303,66.57,0.9,36.305995349678476,458.03202274693876,385.0,True,25629.449999999997
SKU-0344,27.767123287671232,7.285995425414018,22,58,27.52,0.9,43.811513840323784,654.6882261690909,925.0,True,25456.0
SKU-0025,8.301369863013699,3.8204371316070356,28,32,66.8,0.98,41.52336226653386,273.9617184309174,379.0,True,25317.2
SKU-0104,23.38082191780822,6.702071549816436,7,46,106.77,0.9,22.73244270409223,186.39819612874976,234.0,True,24984.18
SKU-0072,23.96712328767123,6.444949781868152,10,152,96.33,0.95,33.526285577998856,273.19751845471114,258.0,True,24853.14
SKU-0044,26.53150684931507,7.298744373278454,26,327,30.64,0.95,61.22104377379905,751.0402218559908,800.0,True,24512.0
SKU-0369,9.558904109589042,4.448108488492061,25,154,93.74,0.95,36.585692317847204,275.5582950575733,260.0,True,24372.399999999998
SKU-0275,27.504109589041096,7.404936695238157,12,184,67.42,0.9,32.88516295877011,362.93447802726325,361.0,True,24338.62
SKU-0248,12.408219178082192,5.066637087891774,29,290,70.53,0.98,56.04272396223126,415.8810801266148,334.0,True,23557.02
SKU-0138,20.506849315068493,6.2465887122827715,18,314,79.08,0.9,33.97560428868447,403.09889195991735,291.0,True,23012.28
SKU-0381,34.273972602739725,8.083799213520958,12,190,46.96,0.9,35.899976651193306,447.18764788407003,481.0,True,22587.760000000002
SKU-0207,11.0,4.528299295043837,23,261,118.73,0.98,44.606636879664954,297.60663687966496,186.0,True,22083.780000000002
SKU-0194,25.605479452054794,7.024914265852011,16,140,40.13,0.95,46.22393586930624,455.9116071021829,544.0,True,21830.72
SKU-0324,31.6,8.319116077306063,21,194,24.45,0.9,48.87365925668405,712.4736592566841,875.0,True,21393.75
SKU-0264,32.02739726027397,7.485099856079875,15,327,46.94,0.9,37.164753205914614,517.5757121100241,450.0,True,21123.0
SKU-0403,19.7013698630137,6.086024640150407,26,152,30.38,0.9,39.78399626922746,552.0196127075836,677.0,True,20567.26
SKU-0452,29.09315068493151,7.134660960685867,22,332,27.8,0.98,68.73613683738981,708.7854519058831,732.0,True,20349.600000000002
SKU-0225,31.03835616438356,7.256195347201895,16,116,28.99,0.95,47.745765384588466,544.3594640147254,701.0,True,20321.989999999998
SKU-0193,20.923287671232877,6.154568582463656,25,284,34.04,0.98,63.20741934190174,586.2896111227237,596.0,True,20287.84
SKU-0117,27.56986301369863,7.15592978061826,10,113,56.71,0.95,37.22476567250661,312.92339580949294,357.0,True,20245.47
SKU-0404,21.416438356164385,6.440066328292783,29,107,22.68,0.9,44.46080937691327,665.5375217056804,892.0,True,20230.56
SKU-0031,20.80821917808219,6.189004638337854,13,192,75.08,0.95,36.70780251872108,307.2146518337895,269.0,True,20196.52
SKU-0300,33.72054794520548,8.231789073298877,7,239,109.68,0.98,44.734613869762086,280.77844948620043,183.0,True,20071.440000000002
SKU-0057,15.38082191780822,5.332377197399158,26,118,36.15,0.95,44.727377905652716,444.6287477686664,549.0,True,19846.35
SKU-0228,31.53150684931507,7.4219172886559965,6,145,105.54,0.95,29.905952394722455,219.09499349061286,184.0,True,19419.36
SKU-0438,29.813698630136987,7.769221379455766,28,124,15.36,0.98,84.44169678885434,919.2252584326899,1255.0,True,19276.8
SKU-0272,17.55890410958904,5.416190513160122,26,481,69.34,0.95,45.43039453572061,501.9619013850357,272.0,True,18860.48
SKU-0451,15.802739726027397,5.60459908778662,16,101,52.91,0.98,46.047386105254866,298.8912217216932,348.0,True,18412.68
SKU-0495,26.553424657534247,7.02237558408092,11,234,72.7,0.9,29.85852990506575,321.94620113794247,249.0,True,18102.3
SKU-0183,13.128767123287671,5.018358588860371,15,111,77.04,0.95,31.97225164972297,228.90375849903805,233.0,True,17950.32
SKU-0008,20.145205479452056,5.952029875742233,20,201,39.31,0.9,34.124643693674386,437.0287532827155,455.0,True,17886.05
SKU-0445,26.213698630136985,7.0487571008773235,22,238,24.85,0.95,54.3863342916862,631.0877041547,709.0,True,17618.65
SKU-0258,23.052054794520547,6.668362848099406,24,517,42.05,0.98,67.10042692124185,620.349741989735,414.0,True,17408.699999999997
SKU-0276,23.10958904109589,6.432578576149777,27,563,37.75,0.95,54.98356364821033,678.9424677577994,456.0,True,17214.0
SKU-0011,19.339726027397262,5.9866779695876415,10,150,96.7,0.9,24.270231718370663,217.6674919923433,177.0,True,17115.9
SKU-0439,4.64931506849315,3.2263988059219737,27,89,119.79,0.95,27.57819465395521,153.1097015032703,141.0,True,16890.39
SKU-0500,22.28219178082192,6.431792225099884,12,173,56.43,0.98,45.76390428949866,313.1502056593617,297.0,True,16759.71
SKU-0116,31.671232876712327,7.656166792811908,11,108,33.41,0.98,52.156467327814866,400.5400289716505,493.0,True,16471.129999999997
SKU-0487,10.684931506849315,4.312888658481765,26,278,88.93,0.9,28.19310739668506,306.00132657476723,182.0,True,16185.260000000002
SKU-0149,18.15890410958904,5.3088107258780015,23,302,39.8,0.98,52.295172399777975,469.94996692032595,403.0,True,16039.4
SKU-0298,22.52054794520548,6.383593301205435,29,597,33.86,0.95,56.54967477142972,709.6455651823886,468.0,True,15846.48
SKU-0098,18.10958904109589,5.939626759270317,9,44,66.9,0.9,22.84380451615364,185.83010588601667,235.0,True,15721.500000000002
SKU-0079,32.657534246575345,7.596664931348554,6,187,102.24,0.95,30.610082403209788,226.55528788266184,153.0,True,15642.72
SKU-0006,6.69041095890411,3.5726434784421746,19,54,92.59,0.9,19.96431919506887,147.08212741424697,167.0,True,15462.53
SKU-0395,19.504109589041096,6.467000730593413,17,373,73.85,0.98,54.768117049398334,386.33798006309695,207.0,True,15286.949999999999
SKU-0375,13.09041095890411,4.933073078263078,13,60,62.91,0.95,29.258706843679597,199.43404930943302,240.0,True,15098.4
SKU-0023,19.065753424657533,6.134576370600164,17,151,39.04,0.9,32.42627513352427,356.54408335270233,384.0,True,14991.36
SKU-0035,23.953424657534246,6.4723011302641735,4,30,95.38,0.98,26.588213043125222,122.4019116732622,154.0,True,14688.519999999999
SKU-0224,23.72876712328767,6.93774275789614,11,94,42.6,0.9,29.498678492772022,290.5151168489364,342.0,True,14569.2
SKU-0174,13.967123287671233,5.011417041887995,18,132,49.27,0.9,27.257424841491407,278.6656440195736,286.0,True,14091.220000000001
SKU-0320,21.2,6.526446620827099,24,370,29.33,0.95,52.59546673942973,561.3954667394297,473.0,True,13873.089999999998
SKU-0347,10.964383561643835,4.482118620139785,26,67,31.86,0.98,46.94295876920249,332.01693137194223,432.0,True,13763.52
SKU-0131,6.405479452054794,3.557992489095675,19,24,65.99,0.98,31.855341607589196,153.55945119663028,207.0,True,13659.929999999998
SKU-0374,14.254794520547945,5.16733828159657,25,202,35.17,0.9,33.122638385034016,389.4925013987326,383.0,True,13470.11
SKU-0284,13.063013698630137,4.787102258728773,18,89,40.74,0.98,41.71664719264594,276.8508937679884,327.0,True,13321.980000000001
SKU-0005,30.410958904109588,7.406626852402115,19,311,20.37,0.95,53.10839394771301,630.9166131257952,636.0,True,12955.320000000002
SKU-0430,20.80821917808219,6.37098836124205,19,142,24.71,0.95,45.6824633490754,441.03862773263705,520.0,True,12849.2
SKU-0083,10.583561643835617,4.495022084882311,14,114,90.84,0.9,21.561743377318457,169.7316063910171,141.0,True,12808.44
SKU-0164,19.18082191780822,5.8309673846863985,13,171,46.83,0.98,43.18299178420636,292.5336767157132,268.0,True,12550.439999999999
SKU-0405,18.304109589041097,6.112777968604108,20,175,28.75,0.9,35.04625724533101,401.12844902615296,427.0,True,12276.25
SKU-0345,8.273972602739725,3.8511460901968553,12,25,78.39,0.9,17.102856103495803,116.39052733637251,150.0,True,11758.5
SKU-0092,18.887671232876713,5.891508724974479,29,259,17.52,0.98,65.16673514743643,612.909200900861,661.0,True,11580.72
SKU-0424,16.47945205479452,5.501022854541137,11,212,98.5,0.98,37.47487829703639,218.7488508997761,117.0,True,11524.5
SKU-0485,25.673972602739727,6.933396393449455,8,173,61.95,0.95,32.259447570523,237.65122839244083,184.0,True,11398.800000000001
SKU-0043,17.413698630136988,5.841903269485518,27,308,24.81,0.9,38.91564821815627,509.0855112318549,456.0,True,11313.359999999999
SKU-0094,5.46027397260274,3.3251761799985147,13,33,108.12,0.95,19.722058341859917,90.70561998569553,104.0,True,11244.48
SKU-0198,4.942465753424657,3.237737551563973,26,124,100.82,0.95,27.15777704149617,155.66188663053725,110.0,True,11090.199999999999
SKU-0100,15.221917808219178,4.894778743648168,12,67,43.76,0.95,27.892638015404316,210.55565171403447,249.0,True,10896.24
SKU-0421,28.90684931506849,7.852142018371942,16,115,16.69,0.9,40.26578427021132,502.7753733113072,640.0,True,10681.6
SKU-0294,24.416438356164385,6.802694474618736,25,74,11.43,0.95,55.9521620537391,666.3631209578488,926.0,True,10584.18
SKU-0289,21.715068493150685,6.624207836381756,16,105,21.17,0.98,54.4244915837125,401.86558747412346,498.0,True,10542.660000000002
SKU-0064,16.252054794520546,5.225363691770651,13,214,73.09,0.9,24.153286039689675,235.42999836845678,140.0,True,10232.6
SKU-0475,10.33972602739726,4.576538945091757,28,199,32.75,0.98,49.74124111918309,339.25356988630637,310.0,True,10152.5
SKU-0148,11.728767123287671,4.873157004460756,19,153,43.2,0.95,34.942430220853254,257.789005563319,234.0,True,10108.800000000001
SKU-0032,15.605479452054794,5.28089783853396,27,253,23.32,0.9,35.17852882533403,456.52647403081346,432.0,True,10074.24
SKU-0279,32.88767123287671,7.892894725280614,21,273,11.8,0.95,59.49930048835698,750.140396378768,853.0,True,10065.400000000001
SKU-0184,30.81095890410959,8.165855635131027,10,66,20.8,0.98,53.03983165623112,361.149420697327,476.0,True,9900.800000000001
SKU-0081,17.416438356164385,5.578781763177526,14,201,47.7,0.9,26.760326971529754,270.59046395783116,205.0,True,9778.5
SKU-0376,17.684931506849313,5.738047089789039,11,117,43.81,0.95,31.30591147713352,225.84015805247597,222.0,True,9725.82
SKU-0367,31.46027397260274,7.341114456483725,26,240,8.94,0.95,61.576439248136545,879.5435625358078,1080.0,True,9655.199999999999
SKU-0429,16.616438356164384,5.464244759921258,13,166,46.26,0.95,32.409156121591586,248.42285475172858,207.0,True,9575.82
SKU-0354,32.61917808219178,8.210497460773277,7,38,25.73,0.98,44.61890730141879,272.95315387676123,372.0,True,9571.56
SKU-0097,5.2164383561643834,3.440986541494247,22,48,58.26,0.95,26.549736593364315,141.31138042898075,164.0,True,9554.64
SKU-0052,28.506849315068493,7.222376872143667,26,230,9.0,0.98,75.64274140386496,816.8208235956458,996.0,True,8964.0
SKU-0466,15.254794520547945,5.099370815958691,20,235,30.33,0.98,46.841633444840724,351.9375238557996,293.0,True,8886.689999999999
SKU-0254,12.876712328767123,5.075650787806936,29,251,23.57,0.95,44.963140313094996,418.3877978473416,377.0,True,8885.89
SKU-0356,26.41917808219178,7.544531851682825,28,286,9.36,0.98,81.9996032959331,821.7365895973029,947.0,True,8863.92
SKU-0330,34.42739726027397,8.145201180638173,13,89,13.18,0.95,48.31026213197644,495.8664265155381,655.0,True,8632.9
SKU-0444,12.904109589041095,4.991653427873494,23,62,19.29,0.95,39.37986697938446,336.17438752732966,443.0,True,8545.47
SKU-0101,25.854794520547944,6.925288923553679,17,352,22.92,0.9,36.60584047669623,476.1373473260113,363.0,True,8319.960000000001
SKU-0232,10.263013698630138,4.489533213496315,12,85,56.11,0.98,31.944217272003055,155.1003816555647,148.0,True,8304.28
SKU-0135,30.016438356164382,7.79015675226747,7,132,33.38,0.98,42.33461902321902,252.4496875163697,247.0,True,8244.86
SKU-0118,30.747945205479454,7.7867898418376065,18,585,26.33,0.9,42.352858901245085,595.8158725998753,309.0,True,8135.969999999999
SKU-0491,5.2465753424657535,3.3527945614618786,25,158,87.97,0.98,34.43320014621349,165.59758370785732,91.0,True,8005.2699999999995
SKU-0065,8.698630136986301,4.2240966636447315,24,248,60.19,0.98,42.50498899710286,251.27211228477407,129.0,True,7764.509999999999
SKU-0459,21.70958904109589,6.640124543374761,20,185,13.35,0.98,60.99463857687234,495.18641939879006,558.0,True,7449.3
SKU-0372,11.191780821917808,4.539985762208926,8,52,58.79,0.98,26.3754527708793,115.90969934622177,122.0,True,7172.38
SKU-0175,17.504109589041096,5.538884482153296,25,351,19.96,0.9,35.504249530602635,473.1069892566301,359.0,True,7165.64
SKU-0260,28.794520547945204,7.657429962421084,8,89,21.51,0.98,44.486523284136005,274.84268766769765,324.0,True,6969.240000000001
SKU-0215,26.59178082191781,7.105982493967758,13,23,12.52,0.9,32.84610180151339,378.5392524864449,545.0,True,6823.4
SKU-0134,21.293150684931508,6.256344664610203,3,42,86.3,0.9,13.892145354479727,77.77159740927425,75.0,True,6472.5
SKU-0386,6.06027397260274,3.504578627068342,20,142,81.58,0.95,25.782006180212225,146.98748563226704,79.0,True,6444.82
SKU-0073,6.2465753424657535,3.5879101860604714,12,64,73.55,0.98,25.528930756409626,100.48783486599866,87.0,True,6398.849999999999
SKU-0339,15.35068493150685,5.442787426414928,12,98,28.29,0.95,31.01543653567396,215.22365571375616,225.0,True,6365.25
SKU-0178,11.465753424657533,4.379278729628981,21,222,34.63,0.9,25.727658375364285,266.5084802931725,178.0,True,6164.14
SKU-0249,22.4986301369863,6.475492538241824,18,345,18.08,0.95,45.19339444404604,450.1687369097994,331.0,True,5984.48
SKU-0357,21.994520547945207,6.184433898132744,10,183,28.34,0.98,40.16986676017652,260.1150722396286,208.0,True,5894.72
SKU-0361,28.46027397260274,7.609037782051596,27,533,8.08,0.95,65.03954957383323,833.4669468341071,718.0,True,5801.44
SKU-0441,9.301369863013699,4.28287200647119,29,176,17.87,0.98,47.37339767196673,317.113123699364,300.0,True,5361.0
SKU-0256,30.56986301369863,7.974111355145488,28,120,4.13,0.98,86.66859397162959,942.6247583551911,1294.0,True,5344.22
